Name   : In Dim  -> Out Dim |blsz|ovf// i,j (Default 10)

Yogurt : 76x85   -> 228x228 | 18 | 6 // 15
YellowP: 128x128 -> 248x248 | 32 | 4
Windows: 128x128 -> 248x248 | 32 | 4
Tomato : 128x128 -> 248x248 | 32 | 4
Text3  : 106x108 -> 248x248 | 32 | 4
S29    : 128x128 -> 183x183 | 12 | 4
S27    : 128x128 -> 248x248 | 32 | 4
S14    : 128x128 -> 248x248 | 32 | 4
S2     : 128x128 -> 248x248 | 32 | 4
rice   : 133x197 -> 248x248 | 32 | 4
RedPep : 128x128 -> 248x248 | 32 | 4
Radish?: 256x256 -> 403x403 | 52 | 4
peanuts: 96x96   -> 248x248 | 32 | 4
olives : 128x128 -> 267x267 | 52 | 6 // 6
jsquare: 128x128 -> 248x248 | 32 | 4
food1  : 128x128 -> 248x248 | 32 | 4
D103   : 128x128 -> 248x248 | 32 | 4
cream  : 99x155  -> 255x255 | 30 | 6
cans   : 256x256 -> 496x496 | 64 | 4
bread  : 99x108  -> 248x248 | 32 | 4
apples : 124x185 -> 357x357 | 42 | 6
23     : 192x192 -> 368x368 | 32 | 4 // 15
11     : 192x192 -> 310x310 | 40 | 4
9      : 192x192 -> 368x368 | 32 | 4 // 15
7      : 192x192 -> 368x368 | 32 | 4 // 15
5      : 192x192 -> 372x372 | 48 | 4
4      : 192x192 -> 368x368 | 28 | 4 // 15
3      : 192x192 -> 368x368 | 32 | 4 // 15

blsz = block dimension (square)
ovf = overlap factor
